ticker,yearreport,lengthreport,net_profit/loss_before_tax,depreciation_and_amortisation,provision_for_credit_losses,unrealized_foreign_exchange_gain/loss,profit/loss_from_investing_activities,interest_expense,interest_income_and_dividends,operating_profit_before_changes_in_working_capital,increase/decrease_in_receivables,increase/decrease_in_inventories,increase/decrease_in_payables,increase/decrease_in_prepaid_expenses,interest_paid,business_income_tax_paid,other_receipts_from_operating_activities,other_payments_on_operating_activities,net_cash_inflows/outflows_from_operating_activities,purchase_of_fixed_assets,proceeds_from_disposal_of_fixed_assets,"loans_granted,_purchases_of_debt_instruments_(bn._vnd)","collection_of_loans,_proceeds_from_sales_of_debts_instruments_(bn._vnd)",investment_in_other_entities,proceeds_from_divestment_in_other_entities,gain_on_dividend,net_cash_flows_from_investing_activities,increase_in_charter_captial,payments_for_share_repurchases,proceeds_from_borrowings,repayment_of_borrowings,finance_lease_principal_payments,dividends_paid,cash_flows_from_financial_activities,net_increase/decrease_in_cash_and_cash_equivalents,cash_and_cash_equivalents,foreign_exchange_differences_adjustment,cash_and_cash_equivalents_at_the_end_of_period
HPG,2020,2,3095721382125,1138885194120,11589787924,-261050273579,-122088274050,523373576010,0,4386431392550,628008567582,-1771718379224,2552135727517,42648469309,-503553127663,-41323528646,0,-30378102797,5262251018628,-2477672697519,10231022111,-3591249113354,568606107101,0,0,89468929321,-5400615752340,0,0,17636534390058,-16160430801645,0,-7966027040,1468137561373,1329772827661,6157827189416,1989609332,7489589626409
HPG,2020,1,2657091220016,1091959044244,22391252573,281070672466,-61696545888,481082874292,0,4471898517703,-1577050200596,53050182496,-1211555601127,37163563730,-374789631415,-432145153255,0,-252203233893,714368443643,-3447607366037,15967887769,-1034707105440,800412234367,0,0,69433321558,-3596501027783,0,0,16924270152854,-12424802707315,0,-4973046084,4494494399455,1612361815315,4544900252204,565121897,6157827189416
HPG,2019,4,2284996658014,803343483855,15279555359,-6186878093,-123838477791,270226645026,0,3243820986370,621007249018,-220137009622,4152758736704,-130439228509,-261917773785,-596124160298,0,-37393880602,6771574919276,-5325523796833,10683051824,-618298027730,1078468665087,0,0,123467379365,-4731202728287,85000000,0,18859904271596,-20308458019905,0,-246706983,-1448715455292,591656735697,3972943652210,301924952,4564902312859
HPG,2019,3,2160914730482,651891904577,2445513914,-18928373518,-161697586815,265895204863,0,2886996817143,-384010257320,-3602598105490,-1279510864698,43941232508,-274014274502,-332083426225,0,-54478176261,-2995757054845,-3759383204475,-11480931285,215263176450,529241329543,0,0,192755999128,-2833603630639,0,0,17893141507485,-13985922428353,0,-5335419426,3901883659706,-1927477025778,5900076071570,344606418,3972943652210
HPG,2019,2,2479812592590,599784384579,2877014108,48465776731,-101892899907,215389146860,0,3257960591321,777004519794,-3506410691355,2417455437347,10345284222,-188205446868,-247709261364,0,-76124456748,2444315976349,-7200900927887,20810046202,-1234317332787,1902221835548,0,0,94125240260,-6418061138664,0,0,12947565846637,-9177531346113,0,-6818491460,3763216009064,-210529153251,6110879210952,-273986131,5900076071570
HPG,2019,1,2170940228673,583138700857,-26374697757,-14499415586,-33470504380,185199221610,0,2864933533417,-1145022952518,2196908631444,-1160255462159,66109848557,-143138746017,-374604421127,0,-171033086219,2133897345378,-5336201548793,2364808068,-2810200888442,3322292650156,0,0,106399394935,-4715345584076,0,0,19848673018339,-13671770034245,0,-217727679,6176685256415,3595237017717,2515617135457,25057778,6110879210952
HPG,2018,4,2037329601363,577870811942,-18173662868,4104939588,-66937818732,144936133893,0,2679130005186,-1712374696823,891988751549,734863589308,1283788372,-229376309960,-569580309365,0,-67856393468,1728078424799,-7753757887855,44519888341,-1461540758141,3593320000000,-138933689,2599680288,123359849441,-5451638161615,0,0,15795734202913,-13529615414961,0,-1565389423,2264553398529,-1459006338287,3976151668262,-1528194518,2515617135457
HPG,2018,3,2848086063843,597087360757,-47094368475,21416556849,2051444778,141685345016,0,3550924182932,119547210473,-1501522889313,44260251184,16736976398,-131341967884,-411912798208,0,-28524384634,1658166580948,-10643470479000,908642864,-3302730556489,5155733037056,0,0,257551741690,-8532007613879,0,0,15179506401865,-9647874632159,0,-1236393107,5530395376599,-1343445656332,5319038225154,559099440,3976151668262
HPG,2018,2,2577218001099,553037107154,-426147437,-33113633439,-41534210367,135220094841,0,3202709431687,-618456931257,-1531001715888,924608516139,-250081285218,-139451648027,-102996238868,0,-26000040655,1459330087913,-6535623048148,5500137417,-3916356966921,3253622924069,0,15000000000,220596558190,-6957260395393,11424719202,0,14031707569867,-9886721261520,0,-2474192297,4153936835252,-1343993472228,6662968459743,63237639,5319038225154
HPG,2018,1,2608439205997,556108322687,-7296315043,38197623898,-46934532354,118019669890,0,3266533975075,82342161661,543802130814,-243975167874,-268670700316,-111597863515,-331943891954,0,-181620568095,2754870075796,-2661214218378,56838470987,-2614873739992,5440337241859,-115947860804,0,344686537986,449826431658,0,0,8465066041528,-9270797786046,0,-642223602,-806373968120,2398322539334,4264641954689,3965720,6662968459743
